The Bishop of Borglum and His Warriors

'law': HRAU
'cannot': SK-PBT
'reach': RAOEFP
'thee;': THAOE/STPH*FPLT
'but': PWUT
'Jens': SKWREPB/-S
'Glob': KPA/TKPWHROB
'shall': SHAL
'reach': RAOEFP
'thee!"': THAOE/SKHRAPL/KR-GS
'Then': KPA/THEPB
'he': HE
'writes': WRAOEUTS
'a': AEU
'letter': HRERT
'to': TO
'his': HEUS
'brother-in-law,': PWROERPBL/KW-BG
'Olaf': O*P/HR*/A*/TP*
'Hase,': H*P/AEUZ/KW-BG
'in': TPH
'Sallingland,': SAL/HREUPBG/HRA*PBD/KW-BG
'and': SKP
'prays': PRAEU/-S
'that': THA
'knight': TPHAO*EUT
'to': TO
'meet': PHAOET
'him': HEUPL
'on': OPB
'Christmas': KREUS/PHAS
'eve,': HRO*ER/AOEF/KW-BG
'at': AT
