In the Nursery

'out,': OUT/KW-BG
'and': SKP
'the': -T
'pieces': PAOEFS
'of': -F
'furniture': TPURPBT
'too,': TAO/KW-BG
'for': TPOR
'they': THE
'are': R
'of': -F
'mahogany."': PHA/HOG/TPHEU/TP-PL/KR-GS
'"And': KW-GS/AFPBD
'is': S
'not': TPHOT
'our': OUR
'play': PHRAEU
'just': SKWRUFT
'as': AS
'good': TKPWAOD
'as': AS
'those': THOZ
'which': WEU
'the': -T
'others': OERS
'have': SR
'in': TPH
'the': -T
'real': RAEL
'theatre?"': THAO*ERT/H-F/KR-GS
'"Our': KW-GS/KPA*/OUR
'play': PHRAEU
'is': S
'much': PHUFP
'better,"': PWOERT/KW-BG/KR-GS
'said': SED
'grandpapa.': TKPWRAPBD/TK-LS/HRO*ER/PA/PA/TP-PL
'"It': KW-GS/KPA*/T
'is': S
'shorter,': SHORT/*ER/KW-BG
'the': -T
'performers': PORPL/*ERS
'are': R
'natural,': TPHARL/KW-BG
'and': SKP
'it': T
'has': HAS
'passed': PAFD
'away': WA*EU
'the': -T
'interval': EUPBT/SRAL
'before': PW-FR
