The Thistle's Experiences

'Belonging': KPA/PWE/HROPBG/-G
'frame': TPRAEUPL
'of': -F
'our': OUR
'picture."': P*EUFP/TP-PL/KR-GS
'And': AFPBD
'the': -T
'young': KWRUPBG
'man': PHAPB
'had': H
'to': TO
'climb': KHRAOEUPL
'across': KRAOS
'the': -T
'palings': P*/A*/HR*/*EU/TPH*/TKPW*/S*
'again,': STKPWERPBGS
'and': SKP
'to': TO
'break': PWRAEBG
'off': OF
'the': -T
'calyx': KAEULGS
'of': -F
'the': -T
'thistle.': THEUFL/TP-PL
'It': KPA/T
'pricked': PREUBGD
'his': HEUS
'fingers,': TPEURPBGS/KW-BG
'but': PWUT
'then': THEPB
'he': HE
'had': H
'called': KAULD
'it': T
'a': AEU
'ghost.': TKPWOEFT/TP-PL
'And': AFPBD
'this': TH
'thistle-calyx': THEUFL/H-PB/KAEULGS
'came': KAEUPL
'into': TPHAO
'the': -T
'garden,': TKPWA*RPB/KW-BG
'and': SKP
'into': TPHAO
'the': -T
'house,': HOUS/KW-BG
'and': SKP
'into': TPHAO
'the': -T
'drawing-room.': TKRAUG/H-PB/RAOPL/TP-PL
'There': KPA/THR
'stood': STAOD
'a': AEU
'picture—"Young': P*EUFP/EPL/TKA*RB/KR-GS/KWR*UPBG
'Couple."': KPA/KUPL/TP-PL/KR-GS
'A': KPA/AEU
'thistle-flower': THEUFL/H-PB/TPHRO*UR
'was': WAS
'painted': PAEUPBTD
'in': TPH
'the': -T
'buttonhole': PW*UPBT/HOEL
'of': -F
'the': -T
'bridegroom.': PWRAOEUD/TKPWRAOPL/TP-PL
'They': KPA/THE
'spoke': SPOEBG
'about': PW
'this,': TH/KW-BG
'and': SKP
'also': HR-S
'about': PW
'the': -T
'thistle-flower': THEUFL/H-PB/TPHRO*UR
'they': THE
'brought,': PWRAUT/KW-BG
'the': -T
'last': HRAFT
'thistle-flower,': THEUFL/H-PB/TPHRO*UR/KW-BG
'now': TPHOU
