Multi-syllable words with multiple strokes

'lightning': HRAOEUT/TPHEUPBG
'observations': OEBGS/-S
'Austria': AUFT/KWRA
'roused': ROUZ/-D
'primitive': PREUPL/TEUF
'doorway': TKAOR/WAEU
'vulgar': SRUL/TKPWAR
'sunset': SAUPB/SET
'abode': A/PWOED
'planted': PHRAPBT/-D
'surrender': SREPBD/UR
'promptly': PROPLT/HREU
'appearing': A/PAOERG
'parish': PAR/EURB
'handkerchief': HAPB/KER/KHEF
'assurance': A/SHURPBS
'upward': AUP/WARD
'sadly': SAD/HREU
'secretary': SEBGT/REU
'modest': PHOD/EFT
'largest': HRARPBLG/EFT
'impatient': EUPL/PAEURBT
'restless': REFT/-LS
'salvation': SAL/SRAEUGS
'afforded': A/TPORD/-D
'cultivated': KULT/SRAEUT/-D
'Shakespeare': SHAEUBG/SPAOER
'rocky': ROBG/KEU
'pious': PAOEU/OUS
'treasury': TREZ/REU
'merchants': PHER/KHAPBTS
'perpetual': PER/PET/WAL
'visitors': SREUS/TORS
'parting': PART/-G
'erected': AOE/REBGD
'prevailed': PRAOE/SRAEULD
'rises': RAOEUZ/-Z
'unlike': UPB/HRAOEUBG
'arrange': A/RAEUPBG
'promises': PROPLS/-S
'manifest': PHAPB/TPEFT
'comparatively': KPAEURT/EUFL
'esteem': ES/TAOEPL
'revelation': REFL/AEUGS
'confession': KAUPB/TPEGS
'nonsense': TPHOPB/SEPBS
'undoubtedly': UPB/TKOUT/HREU
'Dorothy': TKOR/THEU
'stolen': STOEL/EPB
'restore': RE/STOR
'indirectly': EUPB/TKREBGT/HREU
'lasted': HRAFT/-D
'selfish': SEF/EURB
'renewed': RE/TPHAOUD
'canoe': KA/TPHAO
'protest': PRO/TEFT
'Frederick': TPRED/REUBG
'moderate': PHOD/RAT
'upright': AUP/RAOEUGT
'solitude': SOL/TAOUD
'greatness': TKPWRAET/-PBS
'struggling': STRUG/-LG
'reproach': RE/PROEFP
'Venice': SREPB/EUS
'acknowledge': ABG/TPHOPBLG
'motionless': PHOEGS/-LS
'remedy': REPL/TKEU
'bestowed': PWE/STOEU/-D
'pursue': PUR/SAOU
