A Society
'dares': TKAEURS
'not': TPHOT
'tell': TEL
'the': -T
'truth': TRAO*UT
'even': AOEPB
'to': TO
'his': HEUS
'own': OEPB
'wife;': WAOEUF/STPH*FPLT
'instead': STPHED
'of': -F
'rejoicing': RE/SKWROEUFG
'our': OUR
'eyes': AO*EUS
'we': WE
'have': SR
'to': TO
'shut': SHUT
'them': THEPL
'if': TP
'we': WE
'are': R
'to': TO
'take': TAEUBG
'him': HEUPL
'in': TPH
'our': OUR
'arms.': ARPLS/TP-PL
'True,': KPA/TRAOU/KW-BG
'they': THE
'console': KAUPB/SOEL
'themselves': TH*EPLS
'with': W
'stars': STARS
'of': -F
'all': AUL
'shapes,': SHAEUPS/KW-BG
'ribbons': REUB/OPBS
'of': -F
'all': AUL
'shades,': SHAEUDZ/KW-BG
'and': SKP
'incomes': TPH-BGS
'of': -F
'all': AUL
'sizes—but': SAOEUSZ/EPL/TKA*RB/PWUT
'what': WHA
'is': S
'to': TO
'console': KAUPB/SOEL
'us?': US/H-F
'That': KPA/THA
'we': WE
'shall': SHAL
'be': -B
'able': ABL
'in': TPH
'ten': TEPB
'years'': KWRAOERS/AE
'time': TAOEUPL
'to': TO
'spend': SPEPBD
'a': AEU
'week-end': WAOEBG/SKWR*EPBD
'at': AT
'Lahore?': HRA/HOER/H-F
'Or': KPA/OR
'that': THA
'the': -T
'least': HRAOEFT
'insect': EUPB/SEBGT
'in': TPH
'Japan': SKWRA/PAPB
'has': HAS
'a': AEU
'name': TPHAEUPL
'twice': TWAOEUS
'the': -T
'length': HREPBG
'of': -F
'its': EUTS
'body?': PWO*ED/H-F
'Oh,': KPA/O*ERBGS/KW-BG
'Cassandra,': KA/SAPBD/RA/KW-BG
'for': TPOR
'Heaven's': KPA/HEFPB/AES
'sake': SAEUBG
'let': HRET
'us': US
'devise': TKWAOEUZ
'a': AEU
'method': PHO*D
'by': PWEU
'which': WEU
'men': PHEPB
'may': PHAE
'bear': PWAER
'children!': KHEURPB/SKHRAPL
'It': KPA/T
'is': S
'our': OUR
'only': OEPBL
'chance.': KHAPBS/TP-PL
'For': KPA/TPOR
'unless': TPH-LS
'we': WE
'provide': PROEFD
'them': THEPL
'with': W
'some': SOPL
'innocent': TPH-PBT
'occupation': OUPGS
'we': WE
'shall': SHAL
'get': TKPWET
'neither': TPHAOERT
'good': TKPWAOD
'people': PAOEPL
'nor': TPH-R
'good': TKPWAOD
'books;': PWAOBGS/STPH*FPLT
'we': WE
'shall': SHAL
'perish': PER/EURB
'beneath': TPHAO*ET
'the': -T
'fruits': TPRAOUTS
'of': -F
'their': THAEUR
'unbridled': UPB/PWRAOEUD/-LD
'activity;': TAEFT/STPH*FPLT
'and': SKP
'not': TPHOT
'a': AEU
'human': HAOUPL
'being': -BG
'will': HR
'survive': SWAOEUF
'to': TO
'know': TPHOE
'that': THA
'there': THR
'once': WUPBS
'was': WAS
'Shakespeare!"': SHAEUBG/SPAOER/SKHRAPL/KR-GS
'"It': KW-GS/KPA*/T
'is': S
'too': TAO
'late,"': HRAEUT/KW-BG/KR-GS
'I': EU
'replied.': RE/PHRAOEUD/TP-PL
'"We': KW-GS/KPA*/WE
'cannot': SK-PBT
'provide': PROEFD
'even': AOEPB
'for': TPOR
'the': -T
'children': KHEURPB
'that': THA
'we': WE
'have."': SR/TP-PL/KR-GS
'"And': KW-GS/AFPBD
'then': THEPB
'you': U
'ask': SK
'me': PHE
'to': TO
'believe': PWHREF
'in': TPH
'intellect,"': SPWHREBGT/KW-BG/KR-GS
'she': SHE
'said.': SED/TP-PL
'While': KPA/WHAOEUL
'we': WE
'spoke,': SPOEBG/KW-BG
'men': PHEPB
'were': WR
'crying': KRAOEUG
'hoarsely': HAORS/HREU
'and': SKP
'wearily': WAOER/HREU
'in': TPH
'the': -T
'street,': STRAOET/KW-BG
'and,': SKP/KW-BG
'listening,': HR-PBG/KW-BG
'we': WE
'heard': HAERD
'that': THA
'the': -T
'Treaty': KPA/TRAET
'of': -F
'Peace': KPA/PAES
'had': H
'just': SKWRUFT
'been': PW-PB
'signed.': SAOEUPBD/TP-PL
'The': KPA/-T
'voices': SROEUFS
'died': TKAOEUD
'away.': WA*EU/TP-PL
'The': KPA/-T
'rain': RAEUPB
'was': WAS
'falling': TPAULG
'and': SKP
'interfered': EUPBT/TPAOERD
'no': TPHO
'doubt': TKOUT
'with': W
'the': -T
'proper': PROR
'explosion': SPHROEGS
'of': -F
'the': -T
'fireworks.': TPAOEUR/WORBGS/TP-PL
'"My': KW-GS/KPA*/PHEU
'cook': KAOBG
'will': HR
'have': SR
'bought': PWAUT
'the': -T
'Evening': KPA/AOEPBG
'News,"': TPH*US/KW-BG/KR-GS
'said': SED
'Castalia,': KPA/KAFT/A*L/SKWREU/KWRA/KW-BG
'"and': KW-GS/SKP
'Ann': AEPB
'will': HR
'be': -B
'spelling': SPELG
'it': T
'out': OUT
'over': OEFR
'her': HER
'tea.': TAE/TP-PL
'I': EU
'must': PHUFT
'go': TKPW
'home."': HOEPL/TP-PL/KR-GS
'"It's': KW-GS/KPA*/T-S
'no': TPHO
'good—not': TKPWAOD/EPL/TKA*RB/TPHOT
'a': AEU
'bit': PWEUT
'of': -F
'good,"': TKPWAOD/KW-BG/KR-GS
'I': EU
'said.': SED/TP-PL
'"Once': KW-GS/KPA*/WUPBS
'she': SHE
'knows': TPHOEZ
'how': HOU
'to': TO
'read': RAED
'there's': THR-S
'only': OEPBL
'one': WUPB
'thing': THEUPBG
'you': U
'can': K
'teach': TAOEFP
'her': HER
'to': TO
'believe': PWHREF
'in—and': TPH/EPL/TKA*RB/SKP
'that': THA
'is': S
'herself."': H*ERS/TP-PL/KR-GS
'"Well,': KW-GS/KPA*/WEL/KW-BG
'that': THA
'would': WO
'be': -B
'a': AEU
'change,"': KHAEUPBG/KW-BG/KR-GS
'sighed': SAOEU/-D
'Castalia.': KPA/KAFT/A*L/SKWREU/KWRA/TP-PL
'So': KPA/SO
'we': WE
'swept': SWEPT
'up': UP
'the': -T
'papers': PAEUPS
'of': -F
'our': OUR
'Society,': SO*ET/KW-BG
'and,': SKP/KW-BG
'though': THOE
'Ann': AEPB
'was': WAS
'playing': PHRAEUG
'with': W
'her': HER
'doll': TKOL
'very': SRE
'happily,': HAP/HREU/KW-BG
'we': WE
'solemnly': SOL/EPL/HREU
'made': PHAED
'her': HER
'a': AEU
'present': PREPBT
'of': -F
'the': -T
'lot': HROT
'and': SKP
'told': TOLD
'her': HER
'we': WE
'had': H
'chosen': KHOEFPB
'her': HER
'to': TO
'be': -B
'President': P*T
'of': -F
'the': -T
'Society': SO*ET
'of': -F
'the': -T
'future—upon': TPAOURT/EPL/TKA*RB/POPB
'which': WEU
'she': SHE
'burst': PWUFRT
'into': TPHAO
'tears,': TAERS/KW-BG
'poor': PAOR
'little': HREUL
'girl.': TKPWEURL/TP-PL
