Multi-syllable words with doubled consonant letters

'gallop': TKPWAL/OP
'communications': KAEUBGS/-S
'dagger': TKAG/ER
'passive': PEUFS
'corrected': KREBGD
'gentleness': SKWR*EPBLT/-PBS
'sobbing': SOB/-G
'respectfully': R-PT/TPHREU
'affords': AFRDZ
'selfishness': SEFL/SH-PBS
'bullets': PW*ULTS
'rotten': ROT/EPB
'annually': APB/WAEL
'resurrection': RES/REBGS
'immortality': EUPL/POR/TALT
'assumption': SUPLS
'missionaries': PHEUGS/REU/-S
'perpetually': PER/PET/WAEL
'terrific': TREUFG
'commence': KPHEPBS
'supposition': SPOGS
'Hannah': HAPB/TPHA*
'blossom': PWHROFPL
'announce': TPHOUPBS
'coolness': KAOL/-PBS
'insurrection': EUPB/SREBGS
'stepping': STEPG
'flatter': TPHRAERT
'attorney': TOERPB
'offend': OFPBD
'sheriff': SHR-F
'necessities': TPHES/TEUS
'accusation': ABG/SAEUGS
'shabby': SHAB/KWREU
'irritated': EUR/TAEUTD
'classic': KHRA*G
'cruelly': KRAOUL/HREU
'happiest': HAP/KWREFT
'accuse': A/KAOUS
'illuminated': EUL/AOUPL/TPHAEUT/-D
'irritation': EUR/TAEUGS
'acceptable': SEPL
'accurately': ABG/RAT/HREU
'attire': A/TAOEUR
'occupations': OUPGS/-S
'summon': SPHOPB
'depressed': TKPRES/-D
'offerings': OFRGS
'correspondent': KOR/SPOPBT
'ridden': REUD/-PB
'Addison': AD/SO*PB
'illustrate': EUL/STRAEUT
'freshness': TPRERB/-PBS
'equipped': KWEUPD
'incessant': EUPB/SEFPBT
'correctly': KRELG
'pillar': PEUL/AR
'rattle': RA*LT
'gotten': TKPW*PB
'grammar': TKPWRARPL
'attacking': A/TABG/-G
'recollections': REBGT/-G/-S
'muddy': PHUD/KWREU
'intelligible': EUPB/TEL/EUBL
'Jenny': SKWREPB/KWREU
'robbery': ROB/REU
'transmitted': TRAPBZ/PHEUTD
'mechanically': PH-BG/HREU
'batteries': PWAT/REUS
'idleness': AOEUD/-L/-PBS
'merrily': PHER/HREU
'accidental': STKEPBL
