An Unwritten Novel

'my': PHEU
'arm': ARPL
'and': SKP
'plucked': PHRUBGD
'at': AT
'the': -T
'middle': PH*EULD
'of': -F
'my': PHEU
'back.': PWABG/TP-PL
'My': KPA/PHEU
'skin,': SKEUPB/KW-BG
'too,': TAO/KW-BG
'felt': TPELT
'like': HRAOEUBG
'the': -T
'damp': TKAFRP
'chicken's': KH*EUPB/AES
'skin': SKEUPB
'in': TPH
'the': -T
'poulterer's': P*/O*/*U/HR*/T*/*ER/*ER/AES
'shop-window;': SHOP/H-PB/WOEUPBD/STPH*FPLT
'one': WUPB
'spot': SPOT
'between': TWAOEPB
'the': -T
'shoulders': SHOURLDZ
'itched': EUFP/-D
'and': SKP
'irritated,': EUR/TAEUTD/KW-BG
'felt': TPELT
'clammy,': KHRAPL/PH*EU/KW-BG
'felt': TPELT
'raw.': RAU/TP-PL
'Could': KPA/KO
'I': EU
'reach': RAOEFP
'it?': T/H-F
'Surreptitiously': KPA/SREPT/EURBS/HREU
'I': EU
'tried.': TRAOEUD/TP-PL
'She': KPA/SHE
'saw': SAU
'me.': PHE/TP-PL
'A': KPA/AEU
'smile': SPHAOEUL
'of': -F
'infinite': TPH-FPBT
'irony,': AOEUR/TPHEU/KW-BG
'infinite': TPH-FPBT
'sorrow,': SROE/KW-BG
'flitted': TP*/HR*/*EU/T*/T*/-D
'and': SKP
'faded': TPAEUD/-D
'from': TPR
'her': HER
'face.': TPAEUS/TP-PL
'But': KPA/PWUT
'she': SHE
'had': H
'communicated,': KPHAOUPB/KAEUT/-D/KW-BG
'shared': SHAEURD
'her': HER
'secret,': SKRET/KW-BG
'passed': PAFD
'her': HER
'poison;': POEUGS/STPH*FPLT
'she': SHE
'would': WO
'speak': SPAOEBG
'no': TPHO
'more.': PHOR/TP-PL
'Leaning': KPA/HRAOEPBG
'back': PWABG
'in': TPH
'my': PHEU
'corner,': KRORPB/KW-BG
'shielding': SHAOELD/-G
'my': PHEU
'eyes': AO*EUS
'from': TPR
'her': HER
'eyes,': AO*EUS/KW-BG
'seeing': SAOEG
'only': OEPBL
'the': -T
'slopes': SHROEPS
'and': SKP
'hollows,': HOL/OE/-S/KW-BG
'greys': TKPWRA*EU/-S
'and': SKP
'purples,': PURPLS/KW-BG
'of': -F
'the': -T
'winter's': WEURPBT/AES
'landscape,': HRAPB/SKAEUP/KW-BG
'I': EU
'read': RAED
'her': HER
'message,': PHEPBLG/KW-BG
'deciphered': TKE/SAOEUFR/-D
'her': HER
'secret,': SKRET/KW-BG
'reading': RAEGD
'it': T
'beneath': TPHAO*ET
'her': HER
'gaze.': TKPWAEZ/TP-PL
'Hilda's': HEUL/TKA/AES
'the': -T
'sister-in-law.': ST-R/H-PB/TPH/H-PB/HRAU/TP-PL
'Hilda?': HEUL/TKA/H-F
'Hilda?': HEUL/TKA/H-F
'Hilda': HEUL/TKA
'Marsh—Hilda': KPA/PHA*RB/EPL/TKA*RB/HEUL/TKA
'the': -T
'blooming,': PWHRAOPL/-G/KW-BG
'the': -T
'full': TPUL
'bosomed,': PWUZ/OPL/-D/KW-BG
'the': -T
'matronly.': PHAEUT/ROPB/HREU/TP-PL
'Hilda': HEUL/TKA
'stands': STAPBDZ
'at': AT
'the': -T
'door': TKAOR
'as': AS
'the': -T
'cab': KAB
'draws': TKRAUS
'up,': UP/KW-BG
'holding': HOELGD
'a': AEU
'coin.': KOEUPB/TP-PL
'"Poor': KW-GS/KPA*/PAOR
